_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;
500193;brossette;Lavabos et Equipements;1100;Lavabo BASTIA;ALLIA;un;30,88;22,06;;;;;;;
500194;brossette;Lavabos et Equipements;1625;Lavabo BASTIA;ALLIA;un;28,70;20,50;;;;;;;
500195;brossette;Lavabos et Equipements;1886;Colonne BASTIA;ALLIA;un;20,05;14,32;;;;;;;
500196;brossette;Lavabos et Equipements;1333;Lavabo PRIMA CDI;ALLIA;un;70,08;50,06;;;;;;;
500197;brossette;Lavabos et Equipements;1313;Lavabo PRIMA CDI;ALLIA;un;72,39;51,71;;;;;;;
500198;brossette;Lavabos et Equipements;1873;Colonne PRIMA CDI;ALLIA;un;55,94;39,96;;;;;;;
500199;brossette;Lavabos et Equipements;1627;Vasque PRIMA 2;ALLIA;un;100,30;71,64;;;;;;;
500200;brossette;Lavabos et Equipements;P150001;Lavabo KHEOPS 2;PORCHER;un;60,70;43,36;;;;;;;
500201;brossette;Lavabos et Equipements;P149901;Lavabo KHEOPS 2;PORCHER;un;62,30;44,50;;;;;;;
500202;brossette;Lavabos et Equipements;P155801;Colonne KHEOPS 2;PORCHER;un;49,71;35,51;;;;;;;
500203;brossette;Lavabos et Equipements;P176301;Cache siphon KHEOPS 2;PORCHER;un;79,31;56,65;;;;;;;
500204;brossette;Lavabos et Equipements;P149601;Vasque KHEOPS 2;PORCHER;un;91,42;65,30;;;;;;;
500205;brossette;Lavabos et Equipements;P125601;Lavabo ULYSSE 2;PORCHER;un;29,85;21,32;;;;;;;
500206;brossette;Lavabos et Equipements;P125401;Lavabo ULYSSE 2;PORCHER;un;28,84;20,60;;;;;;;
500207;brossette;Lavabos et Equipements;P204201;Colonne ULYSSE 2;PORCHER;un;20,38;14,56;;;;;;;
500208;brossette;Lavabos et Equipements;P204201;Vasque ULYSSE ;PORCHER;un;37,49;26,78;;;;;;;
500209;brossette;Lavabos et Equipements;P136201;Lavabo MATURA ss TP;PORCHER;un;224,74;160,53;;;;;;;
500210;brossette;Lavabos et Equipements;P146801;Vasque ronde FONTIS;PORCHER;un;143,91;102,79;;;;;;;
