_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900119;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;FAS-133-050;29002914;RADIATEURSECHE-SERVIETTESFASSANESPASYMETRIQUEEC625WBLC;ACOVA;1;313,65;195,79
900120;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;FAS-185-060;29002915;RADIATEURSECHE-SERVIETTESFASSANESPASYMETRIQUEEC1019WBLC;ACOVA;1;441,35;275,51
900121;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSXP050-050LF;29004205;RADIATEURSECHE-SERVIETTESREGATEPREMIUM500W;ACOVA;1;554,57;346,18
900122;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TSXP075-050LF;29004206;RADIATEURSECHE-SERVIETTESREGATEPREMIUM750W;ACOVA;1;638,93;398,84
900123;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-074-050;29000090;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE377WBLANC;ACOVA;1;371,79;245,74
900124;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-104-050;29000091;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE504WBLANC;ACOVA;1;457,67;302,50
900125;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-126-050;29000092;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE583WBLANC;ACOVA;1;532,54;351,98
900126;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-148-050;29000093;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE691WBLANC;ACOVA;1;598,84;395,81
900127;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-185-060;29000094;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE980WBLANC;ACOVA;1;743,89;491,68
900128;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;SX-185-080;29000095;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE1307WBLANC;ACOVA;1;864,14;571,16
