_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200884;Socolec;ECLAIRAGE;;4914;00058004914;KITSPOTTBTORIENTABLEELECTRONIQUENICKEL;ARIC;UN;47,74;18,14
200885;Socolec;ECLAIRAGE;;554;00058000554;PROJECTEURDAYBEIGE;ARIC;UN;54,20;20,60
200886;Socolec;ECLAIRAGE;;553;00058000553;PROJECTEURDAYBLANC;ARIC;UN;52,21;19,84
200887;Socolec;ECLAIRAGE;;576;00058000576;PROJECTEURETANCHE150WBLANCJUNIORSANSLAMPE;ARIC;UN;19,68;7,48
200888;Socolec;ECLAIRAGE;;574;00058000574;PROJECTEURETANCHE150WNOIRJUNIORSANSLAMPE;ARIC;UN;19,14;7,27
200889;Socolec;ECLAIRAGE;;590;00058000590;PROJECTEURMX500NOIRSANSLAMPE;ARIC;UN;58,70;22,31
200890;Socolec;ECLAIRAGE;;878;00058000878;SUPPORTMURALFA57POURPROJ.DAYBLANC/BEIGE;ARIC;UN;29,77;11,31
200891;Socolec;DIVERS;;CA221;X;AMPLIFICATEUR2ENTREES/4SORTIES;ALCAD;UN;;
200892;Socolec;DIVERS;;AI200;X;AMPLIFICATEURD'APPARTEMENTV+U1E/1S;ALCAD;UN;;
200893;Socolec;DIVERS;;FM200;X;ANTENNEFM;ALCAD;UN;;
200894;Socolec;DIVERS;;BU266;X;ANTENNEUHF21A60-27ELEMENTS;ALCAD;UN;;
200895;Socolec;DIVERS;;BU456;X;ANTENNEUHF21A60-45ELEMENTS;ALCAD;UN;;
200896;Socolec;DIVERS;;BT751;X;ANTENNECANALPLUSVHF7ELEMENTS;ALCAD;UN;;
200897;Socolec;DIVERS;;CS2T;X;CERCLAGE;ALCAD;UN;;
200898;Socolec;DIVERS;;CM004;X;CONNECTEURRAPIDE;ALCAD;UN;;
200899;Socolec;DIVERS;;F25;X;FEUILLARD;ALCAD;UN;;
200900;Socolec;DIVERS;;FMY19;X;FIXATIONMURALEENYLG.190MM;ALCAD;UN;;
200901;Socolec;DIVERS;;BO266;X;KITAMPLI+ALIMENTATION;ALCAD;UN;;
200902;Socolec;DIVERS;;MS335;X;MATACIERL3Mÿ35;ALCAD;UN;;
200903;Socolec;DIVERS;;FI244;X;REPARTITEURD'INTERIEUR2DIRECTIONS;ALCAD;UN;;
200904;Socolec;DIVERS;;FI474;X;REPARTITEURD'INTERIEUR4DIRECTIONS;ALCAD;UN;;
200905;Socolec;DIVERS;;D1602;X;REPARTITEURD'INTERIEUR6DIRECTIONS;ALCAD;UN;;
200906;Socolec;DIVERS;;D1802;X;REPARTITEURD'INTERIEUR8DIRECTIONS;ALCAD;UN;;
200907;Socolec;APPAREILLAGE;;799185;X;"COFFRETDECOMMUNICATIONAVECBRASSAGE1RGRADE1
";ABB;UN;;
200908;Socolec;APPAREILLAGE;;799150;X;COFFRETDECOMMUNICATIONBASIC;ABB;UN;;
200909;Socolec;APPAREILLAGE;;799152;X;COFFRETDECOMMUNICATIONGRADE1;ABB;UN;;
200910;Socolec;APPAREILLAGE;;799153;X;COFFRETDECOMMUNICATIONGRADE3;ABB;UN;;
200911;Socolec;SECURITECOMMUNICATION;;49BM81PM;X;BLOCALU8PC+INTER1U;CAE;UN;;
200912;Socolec;SECURITECOMMUNICATION;;49K10P600;00049423351;COFFRET10U19P49K10P600;CAE;UN;579,10;220,06
200913;Socolec;SECURITECOMMUNICATION;;49K07P400;00049426262;COFFRET7U19P49K07P400;CAE;UN;349,00;132,62
200914;Socolec;SECURITECOMMUNICATION;;CORD5EF1M;00049426108;CORDONFTPCAT.5E1M;CAE;UN;2,70;1,03
200915;Socolec;SECURITECOMMUNICATION;;CORD5EF2M;00049426093;CORDONFTPCAT.5E2M;CAE;UN;3,24;1,23
200916;Socolec;SECURITECOMMUNICATION;;CORD5EF3M;00049426088;CORDONFTPCAT.5E3M;CAE;UN;4,02;1,53
200917;Socolec;SECURITECOMMUNICATION;;CORD6F1M;X;CORDONFTPCAT.61M;CAE;UN;;
200918;Socolec;SECURITECOMMUNICATION;;CORD6F2M;X;CORDONFTPCAT.62M;CAE;UN;;
200919;Socolec;SECURITECOMMUNICATION;;CORD6F3M;X;CORDONFTPCAT.63M;CAE;UN;;
200920;Socolec;SECURITECOMMUNICATION;;BCTOOLS;00049429389;OUTILDERACCORDEMENT;CAE;UN;52,50;19,95
200921;Socolec;SECURITECOMMUNICATION;;BCPAN1U;00049429399;PANNEAU19POUR24RJ451U;CAE;UN;64,86;24,65
200922;Socolec;SECURITECOMMUNICATION;;MMCPF1U4CROG;00049425046;PANNEAUGUIDECORDONS1U;CAE;UN;37,06;14,08
200923;Socolec;SECURITECOMMUNICATION;;MMCPFB1UG;00049425047;PANNEAUPASSEFILSBALAIS1U;CAE;UN;37,06;14,08
200924;Socolec;SECURITECOMMUNICATION;;49PM1U250G;00049425064;PLATEAUMODEM1UPF.250;CAE;UN;39,69;15,08
200925;Socolec;APPAREILLAGE;;TN402;00010594402;COFFRETDECOMMUNICATIONVDIBASIQUESEMIEQUIPE2R-20MGR1;HAGER;UN;264,56;106,35
200926;Socolec;APPAREILLAGE;;TN401;00010594401;COFFRETDECOMMUNICATIONSEMI-EQUIPETEL/TV;HAGER;UN;194,92;77,59
200927;Socolec;APPAREILLAGE;;TN423;00010594423;COFFRETVDISEMIEQUIPE8RJ452RANGEES+PLATINE8RJ45GRADE3;HAGER;UN;812,23;326,51
200928;Socolec;APPAREILLAGE;;TN413;00010594413;COFFRETVDISEMIEQUIPE8RJ452RANGEESGRADE3;HAGER;UN;670,90;267,06
200929;Socolec;APPAREILLAGE;;TN433;00010594433;COFFRETVDISEMIEQUIPE12RJ453RANGEES+PLATINEGRADE3;HAGER;UN;1199,57;490,81
200930;Socolec;APPAREILLAGE;;TN421;00010594421;COFFRETVDISEMIEQUIPE2R-26M+PLATINE,GRADE1;HAGER;UN;718,31;285,93
200931;Socolec;APPAREILLAGE;;TN411;00010594411;COFFRETVDISEMIEQUIPE2R-26M,GRADE1;HAGER;UN;587,97;234,05
200932;Socolec;APPAREILLAGE;;TN431;00010594431;COFFRETVDISEMIEQUIPE2R-36M+PLATINE,GRADE1;HAGER;UN;1083,80;431,48
200933;Socolec;APPAREILLAGE;;TN811;00010594811;CORDONINFORJ45/RJ453MGRADE.3;HAGER;UN;59,74;22,70
200934;Socolec;APPAREILLAGE;;TN821;00010594821;CORDONTEL.RJ11/RJ453M;HAGER;UN;22,49;8,55
200935;Socolec;APPAREILLAGE;;TN832;00010594832;CORDONTVRJ45/FICHEF3M;HAGER;UN;111,03;42,19
200936;Socolec;APPAREILLAGE;;TN831;00010594831;CORDONTVRJ45/IEC3M;HAGER;UN;109,01;41,42
