_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
170896;CDL;FILS ET CABLES;201612;CANAL ICA 20;neant;CE;39;19,35
170897;CDL;FILS ET CABLES;201613;CANAL ICA 25;neant;CE;66;32,78
170898;CDL;FILS ET CABLES;201136;TUBE IRL 16;neant;CE;58;29,05
170899;CDL;FILS ET CABLES;201137;TUBE IRL 20;neant;CE;73;36,66
170900;CDL;FILS ET CABLES;201138;TUBE IRL 25;neant;CE;106;52,87
170901;CDL;FILS ET CABLES;201139;TUBE IRL 32;neant;CE;145;72,27
170902;CDL;FILS ET CABLES;neant;17 Vatca;neant;CE;;
170903;CDL;FILS ET CABLES;neant;21 Vatca;neant;CE;;
170904;CDL;FILS ET CABLES;neant;298 - 4 P0,5;neant;CE;;
170905;CDL;FILS ET CABLES;250331;CUIVRE NU;neant;CE;365;182,49
170906;CDL;FILS ET CABLES;250005;H07 VU 1,5;neant;CE;23;11,50
170907;CDL;FILS ET CABLES;250040;HO7 VU 2,5;neant;CE;38;18,85
170908;CDL;FILS ET CABLES;250070;HO7 VR6;neant;CE;112;56,13
170909;CDL;FILS ET CABLES;250085;HO7 VR10;neant;CE;185;92,67
170910;CDL;FILS ET CABLES;250002;H07 VR16;neant;CE;291;145,49
170911;CDL;FILS ET CABLES;250019;H07 VR25;neant;CE;545;272,69
170912;CDL;FILS ET CABLES;250244;H05 VVF2*0,75;neant;CE;67;33,65
170913;CDL;FILS ET CABLES;250248;H05 VVF2*1;neant;CE;79;39,58
170914;CDL;FILS ET CABLES;250250;H05 VVF 2*1,5;neant;CE;94;46,93
170915;CDL;FILS ET CABLES;250252;H05 VVF 2*2,5;neant;CE;147;73,73
170916;CDL;FILS ET CABLES;250416;H05 VVF 3 G0,75;neant;CE;92;46,14
170917;CDL;FILS ET CABLES;250160;H05 VVF 3G1;neant;CE;102;50,86
170918;CDL;FILS ET CABLES;250260;H05 VVF 3G1,5;neant;CE;134;66,92
170919;CDL;FILS ET CABLES;250170;H05 VVF 3G 2,5;neant;CE;212;105,77
170920;CDL;FILS ET CABLES;250268;H05 VVF 4G1,5;neant;CE;180;89,82
170921;CDL;FILS ET CABLES;250168;H05 VVF 4G2,5;neant;CE;256;128,15
170922;CDL;FILS ET CABLES;250195;H05 VVF 5G1,5;neant;CE;281;140,25
170923;CDL;FILS ET CABLES;250196;H05 VVF 5G2,5;neant;CE;322;161,02
